order_id,order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
ORD-00065,2023-10-09,2023,4,10,October,North America,Mexico,Furniture,Desks,Small Business,18,196.62,3539.16,1928.55,1610.61,45.51
ORD-00066,2024-12-10,2024,4,12,December,North America,USA,Office Supplies,Binders,Home Office,1,39.28,39.28,19.31,19.97,50.84
ORD-00067,2022-09-17,2022,3,9,September,North America,Mexico,Office Supplies,Binders,Small Business,7,65.6,459.2,240.87,218.33,47.55
ORD-00068,2023-08-06,2023,3,8,August,Latin America,Colombia,Furniture,Chairs,Small Business,8,224.41,1795.28,1013.3,781.98,43.56
ORD-00069,2024-03-31,2024,1,3,March,North America,USA,Furniture,Storage,Consumer,16,760.83,12173.28,5157.7,7015.58,57.63
ORD-00070,2024-05-02,2024,2,5,May,Europe,Italy,Clothing,Footwear,Home Office,38,273.92,10408.96,6739.88,3669.08,35.25
ORD-00071,2023-09-18,2023,3,9,September,North America,Mexico,Electronics,Laptops,Home Office,43,957.0,41151.0,23301.24,17849.76,43.38
ORD-00072,2023-05-07,2023,2,5,May,North America,USA,Electronics,Accessories,Small Business,19,703.23,13361.37,7435.98,5925.39,44.35
ORD-00073,2024-07-18,2024,3,7,July,North America,Mexico,Furniture,Shelving,Corporate,28,636.63,17825.64,7539.45,10286.19,57.7
ORD-00074,2023-06-29,2023,2,6,June,Europe,UK,Electronics,Laptops,Home Office,29,1199.31,34779.99,19994.0,14785.99,42.51
ORD-00075,2023-09-15,2023,3,9,September,Asia Pacific,South Korea,Clothing,Footwear,Consumer,28,37.93,1062.04,619.84,442.2,41.64
ORD-00076,2023-05-28,2023,2,5,May,Europe,Italy,Electronics,Tablets,Corporate,31,885.56,27452.36,17948.15,9504.21,34.62
ORD-00077,2023-01-07,2023,1,1,January,Latin America,Chile,Electronics,Accessories,Home Office,21,554.54,11645.34,7965.72,3679.62,31.6
ORD-00078,2022-11-26,2022,4,11,November,Latin America,Colombia,Clothing,Sportswear,Consumer,21,25.46,534.66,247.6,287.06,53.69
ORD-00079,2024-04-07,2024,2,4,April,North America,Mexico,Clothing,Footwear,Home Office,40,30.45,1218.0,717.54,500.46,41.09
ORD-00080,2023-02-21,2023,1,2,February,Asia Pacific,South Korea,Furniture,Shelving,Small Business,8,367.35,2938.8,1192.49,1746.31,59.42
ORD-00081,2023-09-29,2023,3,9,September,North America,Mexico,Clothing,Men's Wear,Consumer,30,79.04,2371.2,1509.9,861.3,36.32
ORD-00082,2022-11-12,2022,4,11,November,Asia Pacific,South Korea,Office Supplies,Organizers,Small Business,16,84.3,1348.8,595.3,753.5,55.86
ORD-00083,2022-10-24,2022,4,10,October,Europe,UK,Office Supplies,Organizers,Home Office,1,37.29,37.29,15.16,22.13,59.35
ORD-00084,2024-09-29,2024,3,9,September,Europe,Spain,Clothing,Accessories,Small Business,30,109.75,3292.5,2084.85,1207.65,36.68
ORD-00085,2023-05-05,2023,2,5,May,Latin America,Argentina,Clothing,Men's Wear,Small Business,46,105.68,4861.28,3054.62,1806.66,37.16
ORD-00086,2024-02-20,2024,1,2,February,Europe,Spain,Electronics,Laptops,Home Office,7,778.32,5448.24,3949.09,1499.15,27.52
ORD-00087,2024-06-20,2024,2,6,June,Latin America,Brazil,Furniture,Tables,Corporate,5,700.62,3503.1,1730.17,1772.93,50.61
ORD-00088,2023-06-27,2023,2,6,June,Latin America,Brazil,Office Supplies,Labels,Home Office,41,41.1,1685.1,832.01,853.09,50.63
ORD-00089,2022-03-15,2022,1,3,March,North America,USA,Office Supplies,Binders,Small Business,7,75.94,531.58,266.89,264.69,49.79
ORD-00090,2022-07-25,2022,3,7,July,Asia Pacific,Japan,Electronics,Tablets,Home Office,23,1204.41,27701.43,17312.51,10388.92,37.5
ORD-00091,2022-10-26,2022,4,10,October,Latin America,Argentina,Furniture,Desks,Small Business,40,90.81,3632.4,1949.24,1683.16,46.34
ORD-00092,2022-10-21,2022,4,10,October,Europe,Spain,Office Supplies,Organizers,Consumer,30,29.26,877.8,465.45,412.35,46.98
ORD-00093,2022-11-20,2022,4,11,November,Asia Pacific,South Korea,Office Supplies,Organizers,Small Business,20,70.58,1411.6,550.3,861.3,61.02
ORD-00094,2022-08-07,2022,3,8,August,Europe,Spain,Office Supplies,Labels,Home Office,2,33.11,66.22,36.13,30.09,45.44
ORD-00095,2024-03-21,2024,1,3,March,North America,Mexico,Clothing,Accessories,Corporate,39,236.09,9207.51,5528.95,3678.56,39.95
ORD-00096,2023-03-25,2023,1,3,March,Asia Pacific,China,Electronics,Phones,Small Business,3,497.95,1493.85,994.78,499.07,33.41
ORD-00097,2022-09-27,2022,3,9,September,Asia Pacific,Australia,Clothing,Women's Wear,Home Office,34,72.23,2455.82,1290.41,1165.41,47.46
ORD-00098,2023-06-11,2023,2,6,June,Latin America,Colombia,Office Supplies,Paper,Consumer,10,49.49,494.9,247.86,247.04,49.92
ORD-00099,2024-03-24,2024,1,3,March,Asia Pacific,Japan,Clothing,Men's Wear,Consumer,30,90.37,2711.1,1334.26,1376.84,50.79
ORD-00100,2023-06-21,2023,2,6,June,Asia Pacific,Japan,Furniture,Tables,Home Office,40,49.27,1970.8,875.57,1095.23,55.57
ORD-00101,2022-05-10,2022,2,5,May,Latin America,Colombia,Clothing,Men's Wear,Consumer,20,54.84,1096.8,711.8,385.0,35.1
ORD-00102,2022-08-26,2022,3,8,August,Europe,Spain,Clothing,Accessories,Small Business,38,206.09,7831.42,4585.82,3245.6,41.44
ORD-00103,2022-07-22,2022,3,7,July,Latin America,Chile,Office Supplies,Paper,Corporate,29,70.58,2046.82,898.43,1148.39,56.11
ORD-00104,2022-07-23,2022,3,7,July,Asia Pacific,South Korea,Office Supplies,Paper,Corporate,8,42.82,342.56,184.91,157.65,46.02
ORD-00105,2024-07-20,2024,3,7,July,Europe,Italy,Electronics,Phones,Corporate,9,1190.85,10717.65,7581.62,3136.03,29.26
ORD-00106,2023-02-25,2023,1,2,February,Europe,Italy,Furniture,Desks,Corporate,39,282.99,11036.61,4420.9,6615.71,59.94
ORD-00107,2023-05-29,2023,2,5,May,Europe,UK,Electronics,Laptops,Corporate,38,71.55,2718.9,1671.46,1047.44,38.52
ORD-00108,2022-12-23,2022,4,12,December,Europe,Spain,Electronics,Phones,Home Office,33,740.56,24438.48,16342.82,8095.66,33.13
ORD-00109,2024-07-14,2024,3,7,July,North America,Mexico,Office Supplies,Organizers,Consumer,4,66.12,264.48,145.39,119.09,45.03
ORD-00110,2024-04-02,2024,2,4,April,North America,Canada,Clothing,Men's Wear,Home Office,39,271.29,10580.31,4624.48,5955.83,56.29
ORD-00111,2022-09-16,2022,3,9,September,Asia Pacific,India,Office Supplies,Organizers,Small Business,7,53.03,371.21,188.8,182.41,49.14
ORD-00112,2023-03-17,2023,1,3,March,Latin America,Chile,Furniture,Tables,Small Business,26,290.98,7565.48,3655.62,3909.86,51.68
ORD-00113,2022-07-14,2022,3,7,July,Asia Pacific,Australia,Office Supplies,Binders,Small Business,5,70.25,351.25,129.35,221.9,63.17
ORD-00114,2022-06-24,2022,2,6,June,North America,Mexico,Office Supplies,Binders,Home Office,43,57.86,2487.98,931.61,1556.37,62.56
ORD-00115,2023-12-26,2023,4,12,December,Latin America,Brazil,Office Supplies,Labels,Consumer,37,34.68,1283.16,579.32,703.84,54.85
ORD-00116,2022-11-13,2022,4,11,November,Europe,UK,Office Supplies,Labels,Home Office,37,39.92,1477.04,583.77,893.27,60.48
ORD-00117,2022-02-23,2022,1,2,February,Asia Pacific,Japan,Furniture,Shelving,Home Office,22,571.08,12563.76,5907.54,6656.22,52.98
ORD-00118,2024-03-31,2024,1,3,March,North America,USA,Electronics,Phones,Corporate,25,1131.86,28296.5,17939.03,10357.47,36.6
ORD-00119,2023-11-30,2023,4,11,November,Asia Pacific,Australia,Electronics,Phones,Consumer,44,275.59,12125.96,6867.13,5258.83,43.37
ORD-00120,2024-06-26,2024,2,6,June,Latin America,Chile,Clothing,Accessories,Consumer,23,76.44,1758.12,892.21,865.91,49.25
ORD-00121,2024-09-23,2024,3,9,September,Asia Pacific,Japan,Furniture,Tables,Consumer,1,788.02,788.02,347.43,440.59,55.91
ORD-00122,2023-06-08,2023,2,6,June,Asia Pacific,Australia,Electronics,Phones,Small Business,12,771.21,9254.52,5329.1,3925.42,42.42
ORD-00123,2024-12-26,2024,4,12,December,Asia Pacific,Japan,Clothing,Men's Wear,Small Business,5,139.32,696.6,428.78,267.82,38.45
ORD-00124,2024-05-29,2024,2,5,May,Latin America,Colombia,Electronics,Accessories,Home Office,11,80.24,882.64,626.91,255.73,28.97
ORD-00125,2024-01-12,2024,1,1,January,North America,Canada,Electronics,Laptops,Small Business,34,681.73,23178.82,13112.94,10065.88,43.43
ORD-00126,2023-03-30,2023,1,3,March,Asia Pacific,China,Electronics,Audio,Corporate,50,968.18,48409.0,30007.53,18401.47,38.01
ORD-00127,2022-10-30,2022,4,10,October,Europe,France,Furniture,Desks,Consumer,12,493.85,5926.2,3497.99,2428.21,40.97
ORD-00128,2024-10-08,2024,4,10,October,Latin America,Colombia,Office Supplies,Binders,Small Business,29,46.78,1356.62,646.13,710.49,52.37
ORD-00129,2023-07-17,2023,3,7,July,Asia Pacific,South Korea,Electronics,Tablets,Consumer,4,719.53,2878.12,1795.22,1082.9,37.63
ORD-00130,2023-08-11,2023,3,8,August,North America,Mexico,Clothing,Footwear,Consumer,29,180.39,5231.31,3281.4,1949.91,37.27
ORD-00131,2023-01-21,2023,1,1,January,Latin America,Argentina,Electronics,Accessories,Home Office,46,200.08,9203.68,5217.25,3986.43,43.31
ORD-00132,2022-12-20,2022,4,12,December,Latin America,Chile,Furniture,Shelving,Home Office,25,317.1,7927.5,3819.1,4108.4,51.82
ORD-00133,2023-11-24,2023,4,11,November,North America,Mexico,Office Supplies,Paper,Small Business,19,36.32,690.08,276.31,413.77,59.96
ORD-00134,2022-11-04,2022,4,11,November,Europe,France,Office Supplies,Organizers,Consumer,20,17.25,345.0,159.32,185.68,53.82
ORD-00135,2024-12-14,2024,4,12,December,North America,Mexico,Clothing,Sportswear,Home Office,20,118.12,2362.4,1051.42,1310.98,55.49
ORD-00136,2023-03-15,2023,1,3,March,Latin America,Argentina,Furniture,Desks,Home Office,7,149.31,1045.17,524.19,520.98,49.85
ORD-00137,2024-12-14,2024,4,12,December,Asia Pacific,South Korea,Furniture,Storage,Corporate,12,320.07,3840.84,2174.95,1665.89,43.37
ORD-00138,2022-12-06,2022,4,12,December,North America,Canada,Office Supplies,Binders,Home Office,49,97.11,4758.39,2377.8,2380.59,50.03
ORD-00139,2024-07-08,2024,3,7,July,Europe,France,Clothing,Women's Wear,Small Business,30,119.83,3594.9,2129.47,1465.43,40.76
ORD-00140,2024-05-07,2024,2,5,May,Europe,Germany,Furniture,Shelving,Small Business,24,70.18,1684.32,860.53,823.79,48.91
ORD-00141,2024-11-22,2024,4,11,November,North America,Canada,Electronics,Laptops,Corporate,28,445.55,12475.4,7090.3,5385.1,43.17
ORD-00142,2023-12-17,2023,4,12,December,North America,Canada,Electronics,Accessories,Corporate,25,777.91,19447.75,14564.52,4883.23,25.11
ORD-00143,2024-02-07,2024,1,2,February,Asia Pacific,Japan,Office Supplies,Binders,Home Office,31,18.07,560.17,274.04,286.13,51.08
ORD-00144,2024-08-18,2024,3,8,August,Latin America,Brazil,Electronics,Phones,Corporate,36,421.09,15159.24,11188.2,3971.04,26.2
ORD-00145,2024-12-16,2024,4,12,December,Asia Pacific,China,Office Supplies,Paper,Small Business,41,9.54,391.14,199.0,192.14,49.12
ORD-00146,2024-07-25,2024,3,7,July,Latin America,Brazil,Furniture,Desks,Consumer,40,254.28,10171.2,4786.19,5385.01,52.94
ORD-00147,2024-05-03,2024,2,5,May,North America,Mexico,Office Supplies,Paper,Consumer,25,95.57,2389.25,1253.56,1135.69,47.53
ORD-00148,2022-03-31,2022,1,3,March,Asia Pacific,Australia,Electronics,Tablets,Home Office,16,1193.35,19093.6,13300.38,5793.22,30.34
ORD-00149,2023-11-12,2023,4,11,November,Europe,UK,Office Supplies,Labels,Corporate,50,37.16,1858.0,904.73,953.27,51.31
ORD-00150,2024-09-07,2024,3,9,September,Europe,UK,Clothing,Men's Wear,Consumer,13,98.63,1282.19,796.81,485.38,37.86
ORD-00151,2024-11-21,2024,4,11,November,Latin America,Chile,Office Supplies,Paper,Corporate,19,76.56,1454.64,612.98,841.66,57.86
ORD-00152,2023-11-11,2023,4,11,November,Asia Pacific,Japan,Office Supplies,Organizers,Small Business,25,89.5,2237.5,934.84,1302.66,58.22
ORD-00153,2023-01-18,2023,1,1,January,Latin America,Colombia,Office Supplies,Paper,Consumer,28,74.07,2073.96,975.78,1098.18,52.95
ORD-00154,2023-01-05,2023,1,1,January,Asia Pacific,Japan,Electronics,Tablets,Home Office,29,1008.33,29241.57,19607.18,9634.39,32.95
ORD-00155,2024-05-22,2024,2,5,May,Latin America,Colombia,Clothing,Men's Wear,Home Office,40,222.14,8885.6,5771.53,3114.07,35.05
ORD-00156,2023-07-17,2023,3,7,July,North America,USA,Clothing,Accessories,Corporate,2,161.23,322.46,140.49,181.97,56.43
ORD-00157,2024-06-16,2024,2,6,June,North America,USA,Office Supplies,Pens,Consumer,39,41.37,1613.43,614.21,999.22,61.93
ORD-00158,2024-02-01,2024,1,2,February,Latin America,Brazil,Furniture,Storage,Home Office,42,312.55,13127.1,5982.52,7144.58,54.43
ORD-00159,2022-08-21,2022,3,8,August,Europe,Spain,Clothing,Sportswear,Home Office,46,48.56,2233.76,1142.72,1091.04,48.84
ORD-00160,2024-10-02,2024,4,10,October,Europe,UK,Furniture,Chairs,Small Business,6,378.07,2268.42,1275.08,993.34,43.79
ORD-00161,2023-10-17,2023,4,10,October,North America,Mexico,Office Supplies,Pens,Corporate,24,85.88,2061.12,931.11,1130.01,54.83
ORD-00162,2022-10-12,2022,4,10,October,Europe,Spain,Electronics,Tablets,Home Office,30,853.33,25599.9,18194.68,7405.22,28.93
ORD-00163,2022-09-23,2022,3,9,September,North America,USA,Office Supplies,Organizers,Small Business,34,99.96,3398.64,1468.75,1929.89,56.78
ORD-00164,2022-06-01,2022,2,6,June,Europe,France,Electronics,Accessories,Home Office,9,725.46,6529.14,4737.49,1791.65,27.44
ORD-00165,2022-09-22,2022,3,9,September,Latin America,Brazil,Electronics,Audio,Corporate,11,271.87,2990.57,1837.8,1152.77,38.55
ORD-00166,2023-04-07,2023,2,4,April,Asia Pacific,Japan,Office Supplies,Binders,Home Office,9,65.33,587.97,279.29,308.68,52.5
ORD-00167,2024-12-28,2024,4,12,December,Europe,Italy,Furniture,Desks,Home Office,37,537.22,19877.14,8114.62,11762.52,59.18
ORD-00168,2022-02-28,2022,1,2,February,Asia Pacific,China,Clothing,Sportswear,Small Business,41,197.11,8081.51,4334.88,3746.63,46.36
ORD-00169,2023-09-11,2023,3,9,September,Latin America,Colombia,Clothing,Men's Wear,Corporate,29,211.25,6126.25,3087.05,3039.2,49.61
ORD-00170,2024-08-09,2024,3,8,August,Europe,France,Office Supplies,Pens,Corporate,49,97.66,4785.34,2029.5,2755.84,57.59
ORD-00171,2022-08-06,2022,3,8,August,Latin America,Brazil,Office Supplies,Organizers,Consumer,4,28.55,114.2,46.6,67.6,59.19
ORD-00172,2024-05-06,2024,2,5,May,Europe,Germany,Office Supplies,Labels,Corporate,49,73.51,3601.99,1375.49,2226.5,61.81
ORD-00173,2024-11-20,2024,4,11,November,Asia Pacific,India,Electronics,Phones,Small Business,16,1420.59,22729.44,13479.21,9250.23,40.7
ORD-00174,2023-12-24,2023,4,12,December,Asia Pacific,India,Clothing,Accessories,Consumer,28,167.96,4702.88,2038.62,2664.26,56.65
ORD-00175,2024-04-05,2024,2,4,April,Asia Pacific,Japan,Clothing,Men's Wear,Corporate,24,177.53,4260.72,2293.57,1967.15,46.17
ORD-00176,2022-05-31,2022,2,5,May,Latin America,Colombia,Electronics,Laptops,Small Business,24,1463.87,35132.88,24908.49,10224.39,29.1
ORD-00177,2023-11-26,2023,4,11,November,Asia Pacific,China,Furniture,Storage,Consumer,3,422.02,1266.06,516.28,749.78,59.22
ORD-00178,2024-11-29,2024,4,11,November,Latin America,Argentina,Furniture,Shelving,Home Office,11,747.15,8218.65,3933.37,4285.28,52.14
ORD-00179,2023-09-05,2023,3,9,September,Latin America,Colombia,Clothing,Men's Wear,Consumer,27,119.98,3239.46,1768.5,1470.96,45.41
ORD-00180,2023-06-28,2023,2,6,June,Europe,UK,Clothing,Women's Wear,Small Business,10,164.41,1644.1,995.36,648.74,39.46
ORD-00181,2023-05-12,2023,2,5,May,North America,USA,Electronics,Accessories,Corporate,27,504.85,13630.95,9379.46,4251.49,31.19
ORD-00182,2024-04-20,2024,2,4,April,Latin America,Brazil,Furniture,Storage,Home Office,43,189.65,8154.95,4042.2,4112.75,50.43
ORD-00183,2024-02-11,2024,1,2,February,Europe,Spain,Office Supplies,Labels,Home Office,40,38.66,1546.4,690.99,855.41,55.32
ORD-00184,2023-05-20,2023,2,5,May,Asia Pacific,China,Office Supplies,Pens,Small Business,21,71.97,1511.37,674.01,837.36,55.4
ORD-00185,2023-07-15,2023,3,7,July,Latin America,Chile,Office Supplies,Binders,Home Office,46,32.59,1499.14,548.39,950.75,63.42
ORD-00186,2024-06-24,2024,2,6,June,Latin America,Argentina,Furniture,Storage,Home Office,9,238.77,2148.93,906.52,1242.41,57.82
ORD-00187,2023-05-06,2023,2,5,May,Europe,Germany,Electronics,Phones,Small Business,7,649.29,4545.03,3118.97,1426.06,31.38
ORD-00188,2022-10-09,2022,4,10,October,Europe,Spain,Clothing,Footwear,Home Office,21,200.4,4208.4,1983.65,2224.75,52.86
ORD-00189,2022-07-03,2022,3,7,July,Europe,Italy,Electronics,Laptops,Corporate,3,655.93,1967.79,1474.73,493.06,25.06
ORD-00190,2023-01-17,2023,1,1,January,Asia Pacific,Japan,Electronics,Tablets,Consumer,22,873.54,19217.88,11663.57,7554.31,39.31
ORD-00191,2024-12-09,2024,4,12,December,Europe,Italy,Clothing,Accessories,Consumer,22,69.95,1538.9,678.08,860.82,55.94
ORD-00192,2023-01-17,2023,1,1,January,North America,Mexico,Office Supplies,Pens,Corporate,12,58.94,707.28,333.97,373.31,52.78
ORD-00193,2024-11-21,2024,4,11,November,Asia Pacific,Japan,Clothing,Men's Wear,Corporate,31,67.66,2097.46,1008.67,1088.79,51.91
